Name,Position,Birthdate,Foot,Height,Nationality,Club,Year,Path,ID,Birth_Day,Birth_Month,Birth_Year
Hazem Ksiksi,Milieu,21 juin 1997 (24),,,Tunisie,es zarzis,2020,/hazem-ksiksi/profil/spieler/486746,486746,21,juin,1997
Bayram Bouchniba,Milieu,26 déc. 1997 (23),,,Tunisie,es zarzis,2020,/bayram-bouchniba/profil/spieler/370099,370099,26,déc.,1997
Mourad Khenissi,Arrière droit,6 mai 1997 (24),right,,Tunisie,es zarzis,2020,/mourad-khenissi/profil/spieler/475648,475648,6,mai,1997
Ameur Triki,Défenseur central,7 mars 1992 (29),left,,Tunisie,es zarzis,2020,/ameur-triki/profil/spieler/403410,403410,7,mars,1992
Mohamed Ali Kozdoghli,Défenseur central,30 janv. 1990 (31),right,,Tunisie,es zarzis,2020,/mohamed-ali-kozdoghli/profil/spieler/334939,334939,30,janv.,1990
Mohamed Belhadj Mahmoud,Milieu défensif,24 avr. 2000 (21),right,"1,79m",Tunisie,etoile sportive du sahel,2020,/mohamed-belhadj-mahmoud/marktwertverlauf/spieler/673513,673513,24,avr.,2000
Slimen Kchouk,Défenseur central,7 mai 1994 (27),left,"1,82m",Tunisie,stade tunisien,2020,/slimen-kchouk/marktwertverlauf/spieler/209557,209557,7,mai,1994
Faik Sik Salem,Milieu défensif,21 oct. 2000 (20),,"1,79m",Tunisie,etoile sportive du sahel,2020,/faik-sik-salem/marktwertverlauf/spieler/805299,805299,21,oct.,2000
Hamza Lahmar,Milieu central,28 mai 1990 (31),right,"1,77m",Tunisie,etoile sportive du sahel,2020,/hamza-lahmar/marktwertverlauf/spieler/170339,170339,28,mai,1990
Mortadha Ben Ouanes,Ailier gauche,2 juil. 1994 (26),left,"1,82m",Tunisie,etoile sportive du sahel,2020,/mortadha-ben-ouanes/marktwertverlauf/spieler/230921,230921,2,juil.,1994
Hatem Slama,Milieu offensif,24 sept. 1990 (30),right,,Tunisie,es zarzis,2020,/hatem-slama/profil/spieler/217106,217106,24,sept.,1990
Firas Helali,Arrière droit,16 févr. 1994 (27),right,"1,84m",Tunisie,avenir sportif de kasserine,2020,/firas-helali/profil/spieler/407522,407522,16,févr.,1994
Marouane Touzri,Ailier gauche,19 févr. 1992 (29),right,"1,83m",Tunisie,avenir sportif de kasserine,2020,/marouane-touzri/profil/spieler/292790,292790,19,févr.,1992
Ahmed Omrani,Gardien de but,7 avr. 1987 (34),,,Tunisie,eo sidi bouzid,2020,/ahmed-omrani/profil/spieler/123357,123357,7,avr.,1987
Abderrahmane Khayati,Gardien de but,23 mars 1989 (32),,"1,87m",Tunisie,eo sidi bouzid,2020,/abderrahmane-khayati/profil/spieler/133066,133066,23,mars,1989
Salem Mrouki,Milieu défensif,24 déc. 1994 (26),,,Tunisie,eo sidi bouzid,2020,/salem-mrouki/profil/spieler/557131,557131,24,déc.,1994
Boubaker El Fazai,Défenseur central,15 sept. 1992 (28),left,"1,86m",Tunisie,avenir sportif de kasserine,2020,/boubaker-el-fazai/profil/spieler/760658,760658,15,sept.,1992
Oussama Abdelkader,Ailier gauche,19 mars 1992 (29),,,Tunisie,avenir sportif de kasserine,2020,/oussama-abdelkader/profil/spieler/342188,342188,19,mars,1992
Ayoub Mansouri,Avant-centre,2 févr. 1997 (24),,,Tunisie,avenir sportif de kasserine,2020,/ayoub-mansouri/profil/spieler/415470,415470,2,févr.,1997
Wassim Boussif,Avant-centre,2 janv. 1995 (26),right,,Tunisie,es zarzis,2020,/wassim-boussif/profil/spieler/402238,402238,2,janv.,1995
Mohamed Ali Saadaoui,Ailier droit,27 juil. 1997 (23),,,Tunisie,es zarzis,2020,/mohamed-ali-saadaoui/profil/spieler/412742,412742,27,juil.,1997
Skander Brini,Milieu défensif,30 mars 1998 (23),,,Tunisie,js kairouanaise,2020,/skander-brini/marktwertverlauf/spieler/754280,754280,30,mars,1998
Wadii Ben Haj Frej,Milieu défensif,17 juil. 1988 (32),right,"1,76m",Tunisie,js kairouanaise,2020,/wadii-ben-haj-frej/marktwertverlauf/spieler/122957,122957,17,juil.,1988
Malek Charfi,Arrière droit,1 févr. 1997 (24),right,"1,79m",Tunisie,js kairouanaise,2020,/malek-charfi/marktwertverlauf/spieler/578910,578910,1,févr.,1997
Slim Gasmi,Arrière gauche,11 avr. 1992 (29),left,,Tunisie,js kairouanaise,2020,/slim-gasmi/profil/spieler/215802,215802,11,avr.,1992
Ramez Aouani,Défenseur central,8 juin 1999 (22),,"1,83m",Tunisie,js kairouanaise,2020,/ramez-aouani/marktwertverlauf/spieler/731999,731999,8,juin,1999
Alaeddine Bouslimi,Défenseur central,5 sept. 1990 (30),left,"1,87m",Tunisie,etoile sportive metlaoui,2020,/alaeddine-bouslimi/marktwertverlauf/spieler/159943,159943,5,sept.,1990
Aymen Makni,Gardien de but,- (-),,,Tunisie,olympique du kef,2020,/aymen-makni/profil/spieler/265089,265089,,,
Anis Gharbi,Défense,20 juil. 1987 (33),right,,Tunisie,olympique du kef,2020,/anis-gharbi/profil/spieler/164006,164006,20,juil.,1987
Aymen Neji,Défenseur central,14 juil. 1984 (36),right,,Tunisie,olympique du kef,2020,/aymen-neji/profil/spieler/122377,122377,14,juil.,1984
Amor Bouselmi,Arrière droit,- (-),right,,Tunisie,olympique du kef,2020,/amor-bouselmi/profil/spieler/251708,251708,,,
Bilel Wahbi,Milieu,18 nov. 1986 (34),,,Tunisie,olympique du kef,2020,/bilel-wahbi/profil/spieler/133139,133139,18,nov.,1986
Nadhir Tebini,Milieu défensif,9 nov. 1992 (28),,,Tunisie,olympique du kef,2020,/nadhir-tebini/profil/spieler/649409,649409,9,nov.,1992
Seifeddine Akremi,Arrière gauche,2 avr. 1990 (31),left,"1,87m",Tunisie,union sportive de ben guerdane,2020,/seifeddine-akremi/marktwertverlauf/spieler/122342,122342,2,avr.,1990
Khalil Sakli,Milieu offensif,3 avr. 1996 (25),right,,Tunisie,avenir sportif de gabes,2020,/khalil-sakli/profil/spieler/566073,566073,3,avr.,1996
Idriss Taboubi,Avant-centre,5 nov. 1999 (21),right,"1,74m",Tunisie,club africain,2020,/idriss-taboubi/marktwertverlauf/spieler/800012,800012,5,nov.,1999
Bassem Nafti,Milieu central,21 août 1985 (35),right,,Tunisie,avenir sportif de gabes,2020,/bassem-nafti/profil/spieler/133136,133136,21,août,1985
Hamdi Msallmi,Milieu défensif,19 mars 1990 (31),right,,Tunisie,avenir sportif de gabes,2020,/hamdi-msallmi/marktwertverlauf/spieler/353110,353110,19,mars,1990
Dawser Ben Yahmed,Attaquant,20 juin 2002 (19),,,Tunisie,club africain,2020,/dawser-ben-yahmed/profil/spieler/844465,844465,20,juin,2002
Khalil Baldi,Ailier droit,17 mai 1996 (25),left,"1,78m",Tunisie,olympique du kef,2020,/khalil-baldi/marktwertverlauf/spieler/486795,486795,17,mai,1996
Mohamed Ali Moncer,Milieu offensif,28 avr. 1991 (30),right,"1,80m",Tunisie,cs sfaxien,2020,/mohamed-ali-moncer/marktwertverlauf/spieler/172296,172296,28,avr.,1991
Hassan Chouaya,Avant-centre,11 juin 1988 (33),right,,Tunisie,olympique du kef,2020,/hassan-chouaya/profil/spieler/184982,184982,11,juin,1988
Azmi Ghouma,Arrière gauche,27 févr. 1998 (23),left,,Tunisie,cs sfaxien,2020,/azmi-ghouma/marktwertverlauf/spieler/665932,665932,27,févr.,1998
Alaeddine Bouzid,Défenseur central,14 janv. 1997 (24),right,,Tunisie,avenir sportif de gabes,2020,/alaeddine-bouzid/profil/spieler/646585,646585,14,janv.,1997
Ahmed Ammar,Défenseur central,1 nov. 1994 (26),right,"1,87m",Tunisie,cs sfaxien,2020,/ahmed-ammar/marktwertverlauf/spieler/321501,321501,1,nov.,1994
Mourad Ben Younes,Défenseur central,16 nov. 1996 (24),right,"1,93m",Tunisie,cs sfaxien,2020,/mourad-ben-younes/marktwertverlauf/spieler/455251,455251,16,nov.,1996
Mohamed Malek Bouabid,Gardien de but,26 oct. 1997 (23),,,Tunisie,stade gabesien,2020,/mohamed-malek-bouabid/profil/spieler/509537,509537,26,oct.,1997
Salah Othmani,Gardien de but,26 sept. 1995 (25),right,,Tunisie,stade gabesien,2020,/salah-othmani/profil/spieler/401895,401895,26,sept.,1995
Abdallah Berrabeh,Défenseur central,8 août 1993 (27),right,,Tunisie,stade gabesien,2020,/abdallah-berrabeh/profil/spieler/246555,246555,8,août,1993
Zakaria Hamidi,Défenseur central,29 sept. 1997 (23),,"1,85m",Tunisie,stade gabesien,2020,/zakaria-hamidi/profil/spieler/435027,435027,29,sept.,1997
Aymen Trabelsi,Milieu défensif,17 févr. 1992 (29),right,"1,79m",Tunisie,club athletique bizertin,2020,/aymen-trabelsi/marktwertverlauf/spieler/153132,153132,17,févr.,1992
Malek Lamloum,Milieu offensif,20 nov. 1996 (24),left,,Tunisie,stade gabesien,2020,/malek-lamloum/profil/spieler/562934,562934,20,nov.,1996
Atef Mezni,Arrière droit,2 févr. 1986 (35),right,,Tunisie,etoile sportive metlaoui,2020,/atef-mezni/marktwertverlauf/spieler/130706,130706,2,févr.,1986
Afif Jebali,Défenseur central,10 janv. 2000 (21),right,"1,90m",Tunisie,etoile sportive metlaoui,2020,/afif-jebali/marktwertverlauf/spieler/651141,651141,10,janv.,2000
Alaeddine Abdelwahed,Ailier gauche,4 juin 1999 (22),,,Tunisie,avenir sportif de gabes,2020,/alaeddine-abdelwahed/marktwertverlauf/spieler/584251,584251,4,juin,1999
Oussama Boubakeri,Avant-centre,28 févr. 1995 (26),right,,Tunisie,avenir sportif de gabes,2020,/oussama-boubakeri/profil/spieler/335844,335844,28,févr.,1995
Abdelmonaam Chaouadhi,Défenseur central,31 mars 1998 (22),,,Tunisie,club africain,2019,/abdelmonaam-chaouadhi/marktwertverlauf/spieler/639961,639961,31,mars,1998
Malek Jelidi,Milieu défensif,25 juil. 1998 (21),,,Tunisie,us tataouine,2019,/malek-jelidi/marktwertverlauf/spieler/648689,648689,25,juil.,1998
Manaa Ben Hassine,Ailier gauche,22 mars 1990 (30),right,,Tunisie,stade gabesien,2019,/manaa-ben-hassine/profil/spieler/538605,538605,22,mars,1990
Mohamed Kaib,Gardien de but,8 avr. 1997 (23),,,Tunisie,us tataouine,2019,/mohamed-kaib/marktwertverlauf/spieler/627080,627080,8,avr.,1997
Fakhreddine Bguir,Défenseur central,21 juil. 1996 (23),right,,Tunisie,us tataouine,2019,/fakhreddine-bguir/profil/spieler/648687,648687,21,juil.,1996
Aymen Jouini Mnafeg,Milieu central,15 févr. 1981 (39),right,,Tunisie,co medenine,2019,/aymen-jouini-mnafeg/profil/spieler/122422,122422,15,févr.,1981
Tahar Chaabane,Gardien de but,5 févr. 1995 (25),right,"1,87m",Tunisie,co medenine,2019,/tahar-chaabane/profil/spieler/565749,565749,5,févr.,1995
Rami Bouchniba,Arrière droit,8 déc. 1990 (29),right,"1,82m",Tunisie,as soliman,2019,/rami-bouchniba/profil/spieler/243995,243995,8,déc.,1990
Walid Dhahri,Milieu offensif,13 janv. 1985 (35),right,"1,82m",Tunisie,as soliman,2019,/walid-dhahri/marktwertverlauf/spieler/122360,122360,13,janv.,1985
Moatez Chihi,Attaquant,- (-),,,Tunisie,cs chebba,2019,/moatez-chihi/marktwertverlauf/spieler/466146,466146,,,
Seif Teka,Défenseur central,10 avr. 1991 (29),right,"1,82m",Tunisie,cs chebba,2019,/seif-teka/marktwertverlauf/spieler/207106,207106,10,avr.,1991
Nidhal Saïed,Milieu défensif,15 janv. 1991 (29),right,"1,80m",Tunisie,cs chebba,2019,/nidhal-saied/profil/spieler/140534,140534,15,janv.,1991
Marouane Ben Amor,Milieu central,23 sept. 1989 (30),left,"1,79m",Tunisie,cs chebba,2019,/marouane-ben-amor/marktwertverlauf/spieler/309627,309627,23,sept.,1989
Iadh Hamouda,Avant-centre,27 sept. 1997 (22),,,Tunisie,js kairouanaise,2019,/iadh-hamouda/profil/spieler/608859,608859,27,sept.,1997
Lamjed Ameur,Avant-centre,9 févr. 1990 (30),right,"1,79m",Tunisie,js kairouanaise,2019,/lamjed-ameur/profil/spieler/243989,243989,9,févr.,1990
Marouane Dhahri,Ailier droit,22 mars 1997 (23),,"1,79m",Tunisie,as soliman,2019,/marouane-dhahri/marktwertverlauf/spieler/663727,663727,22,mars,1997
Hamza Mathlouthi,Défenseur central,25 juil. 1992 (27),right,"1,84m",Tunisie,cs sfaxien,2019,/hamza-mathlouthi/marktwertverlauf/spieler/169399,169399,25,juil.,1992
Amir Dridi,Défenseur central,10 janv. 1987 (33),right,,Tunisie,olympique beja,2019,/amir-dridi/profil/spieler/159333,159333,10,janv.,1987
Hamza Zakar,Défenseur central,14 août 1986 (33),left,,Tunisie,eo sidi bouzid,2019,/hamza-zakar/marktwertverlauf/spieler/122425,122425,14,août,1986
Raouf Moussa,Milieu offensif,26 nov. 1989 (30),,,Tunisie,olympique beja,2019,/raouf-moussa/profil/spieler/449987,449987,26,nov.,1989
Oussama Aloui,Milieu offensif,28 juil. 1992 (27),,,Tunisie,olympique beja,2019,/oussama-aloui/profil/spieler/296820,296820,28,juil.,1992
Fedi Hmizi,Milieu offensif,27 oct. 1986 (33),right,,Tunisie,olympique beja,2019,/fedi-hmizi/marktwertverlauf/spieler/122365,122365,27,oct.,1986
Sadok Kraiem,Milieu central,21 févr. 1993 (27),right,"1,79m",Tunisie,olympique beja,2019,/sadok-kraiem/profil/spieler/227565,227565,21,févr.,1993
Hamdi Ouerhani,Milieu défensif,29 nov. 1981 (38),left,,Tunisie,olympique beja,2019,/hamdi-ouerhani/profil/spieler/122335,122335,29,nov.,1981
Hamza Testouri,Arrière droit,30 août 1987 (32),right,,Tunisie,olympique beja,2019,/hamza-testouri/profil/spieler/207249,207249,30,août,1987
Bilel Ben Brahim,Arrière droit,15 juin 1990 (30),right,"1,88m",Tunisie,olympique beja,2019,/bilel-ben-brahim/marktwertverlauf/spieler/121175,121175,15,juin,1990
Bassem Skhiri,Gardien de but,25 janv. 1988 (32),right,,Tunisie,eo sidi bouzid,2019,/bassem-skhiri/profil/spieler/112397,112397,25,janv.,1988
Mouez Aboud,Milieu défensif,18 juil. 1996 (23),right,"1,85m",Tunisie,etoile sportive metlaoui,2019,/mouez-aboud/marktwertverlauf/spieler/274971,274971,18,juil.,1996
Mohamed Maalel,Milieu,8 oct. 1995 (24),,,Tunisie,etoile sportive metlaoui,2019,/mohamed-maalel/profil/spieler/663459,663459,8,oct.,1995
Fadi Ben Mabrouk,Milieu,16 juil. 1997 (22),,,Tunisie,etoile sportive metlaoui,2019,/fadi-ben-mabrouk/profil/spieler/572135,572135,16,juil.,1997
Mehdi Ben Nsib,Arrière gauche,1 sept. 1994 (25),left,,Tunisie,etoile sportive metlaoui,2019,/mehdi-ben-nsib/profil/spieler/334990,334990,1,sept.,1994
Helmi Toujani,Défenseur central,- (-),,,Tunisie,olympique beja,2019,/helmi-toujani/profil/spieler/296851,296851,,,
Ali Korbi,Avant-centre,7 janv. 1990 (30),right,"1,83m",Tunisie,avenir sportif de kasserine,2019,/ali-korbi/marktwertverlauf/spieler/366439,366439,7,janv.,1990
Ahmed Barouaghi,Milieu offensif,20 août 1992 (27),,,Tunisie,avenir sportif de kasserine,2019,/ahmed-barouaghi/profil/spieler/465746,465746,20,août,1992
Khalil Jlassi,Milieu central,2 sept. 1984 (35),right,"1,77m",Tunisie,avenir sportif de kasserine,2019,/khalil-jlassi/profil/spieler/122325,122325,2,sept.,1984
Rami Dergaa,Milieu défensif,20 févr. 1992 (28),right,"1,81m",Tunisie,avenir sportif de kasserine,2019,/rami-dergaa/profil/spieler/211177,211177,20,févr.,1992
Jihad Hajlaoui,Milieu,15 mars 1991 (29),,"1,71m",Tunisie,avenir sportif de kasserine,2019,/jihad-hajlaoui/profil/spieler/191985,191985,15,mars,1991
Hamdi Abdi,Arrière gauche,28 déc. 1987 (32),left,"1,78m",Tunisie,avenir sportif de kasserine,2019,/avenir-sportif-mhamdia/startseite/verein/86583,86583,28,déc.,1987
Sahbi Chelbi,Défenseur central,30 août 1987 (32),right,,Tunisie,avenir sportif de kasserine,2019,/sahbi-chelbi/marktwertverlauf/spieler/251712,251712,30,août,1987
Wissem Sehli,Gardien de but,17 oct. 1990 (29),,,Tunisie,avenir sportif de kasserine,2019,/wissem-sehli/profil/spieler/415465,415465,17,oct.,1990
Amine Abbès,Défenseur central,1 déc. 1986 (33),right,"1,88m",Tunisie,etoile sportive metlaoui,2019,/amine-abbes/marktwertverlauf/spieler/133039,133039,1,déc.,1986
Sadok Ourimi,Milieu gauche,19 mai 1988 (32),right,,Tunisie,es zarzis,2019,/sadok-ourimi/profil/spieler/144239,144239,19,mai,1988
Riadh Souilmi,Avant-centre,22 mai 1989 (31),right,"1,86m",Tunisie,es zarzis,2019,/riadh-souilmi/profil/spieler/478151,478151,22,mai,1989
Arbi Mogaadi,Arrière droit,27 mai 1997 (23),right,"1,79m",Tunisie,es zarzis,2019,/arbi-mogaadi/profil/spieler/422901,422901,27,mai,1997
Oussema Boughanmi,Milieu central,5 janv. 1990 (30),right,"1,84m",Tunisie,etoile sportive metlaoui,2019,/oussema-boughanmi/profil/spieler/133080,133080,5,janv.,1990
Chouayeb Hamada,Arrière droit,18 nov. 1989 (30),right,,Tunisie,la palme sportive tozeur,2019,/chouayeb-hamada/profil/spieler/565214,565214,18,nov.,1989
Afif Snoussi,Arrière droit,24 août 1986 (33),right,,Tunisie,la palme sportive tozeur,2019,/afif-snoussi/profil/spieler/292784,292784,24,août,1986
Nader Farsi,Défenseur central,1 mars 1990 (30),right,"1,82m",Tunisie,la palme sportive tozeur,2019,/nader-farsi/profil/spieler/210521,210521,1,mars,1990
Mohamed Amine Hadj Saïd,Milieu offensif,17 févr. 1987 (33),right,"1,82m",Tunisie,js kairouanaise,2019,/mohamed-amine-hadj-said/profil/spieler/178761,178761,17,févr.,1987
Youssef Trabelsi,Ailier droit,18 mars 1993 (27),left,,Tunisie,stade tunisien,2019,/youssef-trabelsi/profil/spieler/247224,247224,18,mars,1993
Tahar Zerif,Milieu offensif,3 janv. 1995 (25),,,Tunisie,la palme sportive tozeur,2019,/tahar-zerif/profil/spieler/565221,565221,3,janv.,1995
Yosri Adala,Milieu offensif,15 juin 1996 (24),left,"1,8m",Tunisie,js kairouanaise,2019,/yosri-adala/marktwertverlauf/spieler/351205,351205,15,juin,1996
Mohamed Amine Nabli,Défenseur central,1 avr. 1996 (24),,,Tunisie,js kairouanaise,2019,/mohamed-amine-nabli/marktwertverlauf/spieler/529943,529943,1,avr.,1996
Ali Azibi,Milieu défensif,4 avr. 1994 (26),,"1,86m",Tunisie,js kairouanaise,2019,/ali-azibi/marktwertverlauf/spieler/594729,594729,4,avr.,1994
Marouene Ghribi,Milieu central,10 juil. 1995 (24),,,Tunisie,js kairouanaise,2019,/marouene-ghribi/marktwertverlauf/spieler/441209,441209,10,juil.,1995
Oussema Tibi,Milieu,18 déc. 1993 (26),,,Tunisie,js kairouanaise,2019,/oussema-tibi/marktwertverlauf/spieler/466021,466021,18,déc.,1993
Mohamed Ali Ellili,Gardien de but,8 janv. 2000 (20),,,Tunisie,etoile sportive du sahel,2019,/mohamed-ali-ellili/profil/spieler/809344,809344,8,janv.,2000
Wael Ben Ghali,Milieu défensif,25 juin 1997 (23),right,"1,87m",Tunisie,etoile sportive du sahel,2019,/wael-ben-ghali/marktwertverlauf/spieler/503083,503083,25,juin,1997
Ammar Jemal,Défenseur central,20 avr. 1987 (33),,,Tunisie,etoile sportive du sahel,2019,/ammar-jemal/marktwertverlauf/spieler/66319,66319,20,avr.,1987
Skander Rejichi,Milieu,- (-),,,Tunisie,us monastir,2019,/skander-rejichi/profil/spieler/812814,812814,,,
Zouhaier Attia,Milieu offensif,28 juin 1989 (31),right,,Tunisie,union sportive de ben guerdane,2019,/zouhaier-attia/marktwertverlauf/spieler/334879,334879,28,juin,1989
Nidhal Thabet,Arrière gauche,16 sept. 1999 (20),left,,Tunisie,union sportive de ben guerdane,2019,/nidhal-thabet/profil/spieler/675855,675855,16,sept.,1999
Skander Agrebi,Milieu défensif,26 janv. 1993 (27),right,,Tunisie,us monastir,2019,/skander-agrebi/marktwertverlauf/spieler/462948,462948,26,janv.,1993
Alaeddine Lajnef,Arrière gauche,7 juil. 1994 (25),left,,Tunisie,us monastir,2019,/alaeddine-lajnef/profil/spieler/351061,351061,7,juil.,1994
Alaeddine Zouhir,Défenseur central,7 mars 2000 (20),right,"1,90m",Tunisie,us monastir,2019,/alaeddine-zouhir/marktwertverlauf/spieler/634697,634697,7,mars,2000
Sahbi Lakhal,Gardien de but,- (-),,,Tunisie,us monastir,2019,/sahbi-lakhal/marktwertverlauf/spieler/680888,680888,,,
Mohamed Ali Jrad,Gardien de but,27 avr. 1997 (23),,"1,85m",Tunisie,us monastir,2019,/mohamed-ali-jrad/marktwertverlauf/spieler/561449,561449,27,avr.,1997
Hatten Baratli,Milieu défensif,9 janv. 1991 (29),right,"1,80m",Tunisie,club athletique bizertin,2019,/hatten-baratli/marktwertverlauf/spieler/122347,122347,9,janv.,1991
Abdelkhalak Yeken,Arrière droit,14 avr. 1996 (24),right,,Tunisie,club athletique bizertin,2019,/abdelkhalak-yeken/marktwertverlauf/spieler/477357,477357,14,avr.,1996
Yassine Bouslimi,Gardien de but,6 janv. 1997 (23),,,Tunisie,club athletique bizertin,2019,/yassine-bouslimi/profil/spieler/537271,537271,6,janv.,1997
Mohamed Bouderbala,Gardien de but,12 oct. 1984 (35),right,"1,91m",Tunisie,es hammam sousse,2019,/mohamed-bouderbala/profil/spieler/66309,66309,12,oct.,1984
Mohamed Hezzi,Ailier gauche,20 juin 1998 (22),right,"1,73m",Tunisie,club athletique bizertin,2019,/mohamed-hezzi/profil/spieler/572207,572207,20,juin,1998
Alaeddine Ben Haj Amara,Ailier droit,10 juin 1996 (24),,,Tunisie,club athletique bizertin,2019,/alaeddine-ben-haj-amara/profil/spieler/572243,572243,10,juin,1996
Firas Ben Larbi,Milieu offensif,27 mai 1996 (24),left,"1,71m",Tunisie,etoile sportive du sahel,2019,/firas-ben-larbi/marktwertverlauf/spieler/295382,295382,27,mai,1996
Bouraoui Wafi,Attaquant,14 mai 1997 (23),,,Tunisie,es hammam sousse,2019,/bouraoui-wafi/profil/spieler/565870,565870,14,mai,1997
Mehdi Ben Dhifallah,Avant-centre,6 mai 1983 (37),right,"1,89m",Tunisie,es hammam sousse,2019,/mehdi-ben-dhifallah/profil/spieler/62798,62798,6,mai,1983
Aymen Soltani,Attaquant,1 févr. 1987 (33),right,"1,89m",Tunisie,es hammam sousse,2019,/aymen-soltani/profil/spieler/122322,122322,1,févr.,1987
Alaeddine Kaouem,Milieu défensif,25 juil. 1987 (32),,,Tunisie,es hammam sousse,2019,/alaeddine-kaouem/marktwertverlauf/spieler/133138,133138,25,juil.,1987
Marouène Jahhar,Milieu,- (-),,,Tunisie,es hammam sousse,2019,/marouene-jahhar/marktwertverlauf/spieler/244010,244010,,,
Mohamed Ali Nafkha,Milieu défensif,25 janv. 1986 (34),right,"1,81m",Tunisie,es hammam sousse,2019,/mohamed-ali-nafkha/profil/spieler/63070,63070,25,janv.,1986
Ahmed Tlili,Milieu,- (-),,,Tunisie,es hammam sousse,2019,/ahmed-tlili/profil/spieler/246613,246613,,,
Abdelmajid Ben Belgacem,Attaquant,4 févr. 1986 (34),right,,Tunisie,es hammam sousse,2019,/abdelmajid-ben-belgacem/marktwertverlauf/spieler/122662,122662,4,févr.,1986
Yacine Mansour,Milieu,7 mars 1990 (30),,,Tunisie,es hammam sousse,2019,/yacine-mansour/profil/spieler/208354,208354,7,mars,1990
Wael Bellakhal,Milieu central,20 mars 1985 (35),right,"1,78m",Tunisie,es hammam sousse,2019,/wael-bellakhal/profil/spieler/122500,122500,20,mars,1985
Mehdi Zaouali,Ailier gauche,8 avr. 1993 (27),right,"1,73m",Tunisie,es hammam sousse,2019,/mehdi-zaouali/profil/spieler/230074,230074,8,avr.,1993
Walid Barsalo,Ailier gauche,21 août 1990 (29),,"1,85m",Tunisie,es hammam sousse,2019,/walid-barsalo/profil/spieler/246884,246884,21,août,1990
Marouene Hamidi,Défenseur central,25 févr. 1996 (24),,,Tunisie,union sportive de ben guerdane,2019,/marouene-hamidi/marktwertverlauf/spieler/530369,530369,25,févr.,1996
Abdelkader Dhaou,Milieu gauche,12 juin 1984 (36),left,,Tunisie,eo sidi bouzid,2019,/abdelkader-dhaou/profil/spieler/142914,142914,12,juin,1984
Aymen Zidane,Gardien de but,3 mars 1983 (37),right,"1,88m",Tunisie,olympique du kef,2019,/aymen-zidane/profil/spieler/122426,122426,3,mars,1983
Majed Ben Ali,Gardien de but,- (-),,,Tunisie,olympique du kef,2019,/majed-ben-ali/profil/spieler/251706,251706,,,
Tarek Nasri,Avant-centre,7 juin 1991 (29),,"1,81m",Tunisie,olympique du kef,2019,/tarek-nasri/profil/spieler/191983,191983,7,juin,1991
Aymen Ben Fadhl,Milieu offensif,17 sept. 1987 (32),left,,Tunisie,olympique du kef,2019,/aymen-ben-fadhl/profil/spieler/122349,122349,17,sept.,1987
Mohamed Ali Chka,Milieu offensif,27 avr. 1986 (34),,,Tunisie,olympique du kef,2019,/mohamed-ali-chka/profil/spieler/207088,207088,27,avr.,1986
Bassem Saïbi,Arrière droit,24 sept. 1984 (35),right,,Tunisie,olympique du kef,2019,/bassem-saibi/profil/spieler/122336,122336,24,sept.,1984
Mabrouk Jendli,Défenseur central,6 mars 1992 (28),right,,Tunisie,union sportive de ben guerdane,2019,/mabrouk-jendli/marktwertverlauf/spieler/463137,463137,6,mars,1992
Montassar Lahfidhi,Milieu central,28 mars 1983 (37),,"1,90m",Tunisie,egs gafsa,2019,/montassar-lahfidhi/profil/spieler/290456,290456,28,mars,1983
Borhane Ghannem,Milieu offensif,14 juil. 1987 (32),right,"1,74m",Tunisie,egs gafsa,2019,/borhane-ghannem/profil/spieler/122629,122629,14,juil.,1987
Chamseddine Dhifallah,Milieu défensif,30 avr. 1988 (32),,,Tunisie,egs gafsa,2019,/chamseddine-dhifallah/profil/spieler/557951,557951,30,avr.,1988
Houssem Zrelli,Défenseur central,3 sept. 1987 (32),right,"1,85m",Tunisie,egs gafsa,2019,/houssem-zrelli/marktwertverlauf/spieler/69111,69111,3,sept.,1987
Abderraouf Abdessalam,Défenseur central,- (-),,"1,81m",Tunisie,egs gafsa,2019,/abderraouf-abdessalam/profil/spieler/352569,352569,,,
Hatem Bejaoui,Arrière gauche,10 mai 1986 (34),left,"1,84m",Tunisie,egs gafsa,2019,/hatem-bejaoui/profil/spieler/66307,66307,10,mai,1986
Rabii Ben Hassine,Défense,3 mars 1996 (24),,,Tunisie,union sportive de ben guerdane,2019,/rabii-ben-hassine/marktwertverlauf/spieler/441692,441692,3,mars,1996
Walid Sardouk,Avant-centre,3 oct. 1997 (22),,,Tunisie,club athletique bizertin,2019,/walid-sardouk/profil/spieler/438867,438867,3,oct.,1997
Karim Bachar,Avant-centre,3 mai 1988 (32),,,Tunisie,avenir sportif rejiche,2019,/karim-bachar/profil/spieler/465108,465108,3,mai,1988
Mouhab Sabki,Milieu offensif,- (-),right,,Tunisie,avenir sportif rejiche,2019,/mouhab-sabki/profil/spieler/577412,577412,,,
Souhaiel Guetari,Milieu défensif,19 févr. 1999 (21),,,Tunisie,cs hammam lif,2019,/souhaiel-guetari/marktwertverlauf/spieler/665725,665725,19,févr.,1999
Mohamed Chadi Nait Liman,Défenseur central,4 juin 1997 (23),right,"1,92m",Tunisie,es zarzis,2019,/mohamed-chadi-nait-liman/profil/spieler/562476,562476,4,juin,1997
